,first_name,last_name,nick_name,height,weight,reach,stance,wins,losses,draws,fighter_url
0,Tom,Aaron,,--,155 lbs.,--,,5,3,0,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
1,Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,http://ufcstats.com/fighter-details/15df64c02b6b0fde
2,David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,14,0,http://ufcstats.com/fighter-details/b361180739bed4b0
3,Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,4,0,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
4,Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,14,3,http://ufcstats.com/fighter-details/c0ed7b208197e8de
5,Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,http://ufcstats.com/fighter-details/5140122c3eecd307
6,Papy,Abedi,Makambo,"5' 11""",185 lbs.,"74.0""",Southpaw,9,3,0,http://ufcstats.com/fighter-details/c9f6385af6df66d7
7,Ricardo,Abreu,Demente,"5' 11""",185 lbs.,"73.0""",Orthodox,5,3,0,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
8,Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,3,0,http://ufcstats.com/fighter-details/7279654c7674cd24
9,Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,26,12,0,http://ufcstats.com/fighter-details/1c5879330d42255f
10,Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,http://ufcstats.com/fighter-details/2620f3eb21c79614
11,Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,2,0,http://ufcstats.com/fighter-details/83b00f7597e5ac83
12,Anthony,Adams,Sugafoot,"6' 0""",185 lbs.,"77.0""",Orthodox,7,1,0,http://ufcstats.com/fighter-details/a77633a989013265
13,Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,17,0,0,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
14,Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,http://ufcstats.com/fighter-details/0e9869d712e81f8f
15,Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
16,Mariya,Agapova,,"5' 8""",125 lbs.,--,Southpaw,6,1,0,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
17,Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,http://ufcstats.com/fighter-details/44aa652b181bcf68
18,Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,22,16,0,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
19,Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,http://ufcstats.com/fighter-details/8f382b3baa954d2a
20,Kevin,Aguilar,Angel of Death,"5' 7""",145 lbs.,"73.0""",Orthodox,17,2,0,http://ufcstats.com/fighter-details/cf946e03ba2e7666
21,Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,12,6,1,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
22,Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,8,0,http://ufcstats.com/fighter-details/2eada40ac8801559
23,Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,18,4,1,http://ufcstats.com/fighter-details/16690d100f995f8f
24,Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"73.0""",Orthodox,14,6,0,http://ufcstats.com/fighter-details/b0550072e5f0afa7
25,Rostem,Akman,Kurdimus Prime,"5' 10""",170 lbs.,"72.0""",Switch,6,1,0,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
26,Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,11,5,0,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
27,Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,http://ufcstats.com/fighter-details/1cf1310684a841f5
28,Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,http://ufcstats.com/fighter-details/7578cc6bd750206b
29,Javi,Alanis,,"5' 6""",135 lbs.,--,,0,3,0,http://ufcstats.com/fighter-details/2144954270be834d
30,Heili,Alateng,,"5' 6""",125 lbs.,--,,12,7,1,http://ufcstats.com/fighter-details/1897b7b913736a7c
31,Brett,Albee,,--,225 lbs.,--,,3,1,0,http://ufcstats.com/fighter-details/9b28292abe3166d5
32,John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",,7,5,0,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
33,Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,http://ufcstats.com/fighter-details/c482c8605455a213
34,Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,http://ufcstats.com/fighter-details/184b955181bdef52
35,Alexandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,7,1,0,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
36,Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,http://ufcstats.com/fighter-details/dd1b90eea08887f6
37,Juan,Alcain,,--,--,--,,1,2,0,http://ufcstats.com/fighter-details/39f62b833e4cf126
38,Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
39,Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,8,0,http://ufcstats.com/fighter-details/7c6e87729e824ef4
40,Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,http://ufcstats.com/fighter-details/1e38bba6738b7b10
41,Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,http://ufcstats.com/fighter-details/d26934530dc5b248
42,Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,10,5,0,http://ufcstats.com/fighter-details/578ef12674df1e6a
43,Hector,Aldana,El Charro,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,http://ufcstats.com/fighter-details/c487223b0289bda9
44,Jose,Aldo,,"5' 7""",145 lbs.,"70.0""",Orthodox,28,5,0,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
45,JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,7,3,0,http://ufcstats.com/fighter-details/6fd953151d981979
46,Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,http://ufcstats.com/fighter-details/fe5a9547479396ab
47,John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,34,16,0,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
48,Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,13,8,1,http://ufcstats.com/fighter-details/0541480fbf719d86
49,Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,5,5,0,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
50,Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,http://ufcstats.com/fighter-details/d53482bef23235ba
51,Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,11,0,http://ufcstats.com/fighter-details/b757c73f443d4fca
52,Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,6,5,0,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
53,Levi,Alford,,--,--,--,,1,4,0,http://ufcstats.com/fighter-details/41b34b7f11f6d085
54,Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,12,3,0,http://ufcstats.com/fighter-details/9abc648e76c4493a
55,Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,http://ufcstats.com/fighter-details/669a3cb6e394f515
56,Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,http://ufcstats.com/fighter-details/e17770faae3ca54c
57,Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,http://ufcstats.com/fighter-details/e70de1859b7ee78e
58,John,Allan,,"6' 3""",205 lbs.,"75.0""",Orthodox,14,5,0,http://ufcstats.com/fighter-details/6ebe96a116e79e52
59,George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,http://ufcstats.com/fighter-details/1e13936d708bcff7
60,Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,15,1,0,http://ufcstats.com/fighter-details/040a74bb0a465c54
61,Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,11,3,0,http://ufcstats.com/fighter-details/2f181c0467965b98
62,Benny,Alloway,Blanco,"5' 11""",170 lbs.,"75.0""",Orthodox,13,6,0,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
63,Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,http://ufcstats.com/fighter-details/91186547a7f3f758
64,Magno,Almeida,,"6' 0""",155 lbs.,--,,9,3,0,http://ufcstats.com/fighter-details/d615d6a10a4704cd
65,Thomas,Almeida,Thominhas,"5' 7""",135 lbs.,"70.0""",Southpaw,22,3,0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
66,Ericka,Almeida,,"5' 6""",115 lbs.,"68.0""",,7,2,0,http://ufcstats.com/fighter-details/67a992d4cff22466
67,Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,2,0,http://ufcstats.com/fighter-details/f16ddfa31236efed
68,Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,http://ufcstats.com/fighter-details/c6bf75775b278ed8
69,Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,--,Southpaw,8,4,0,http://ufcstats.com/fighter-details/49b130de1da2e1bf
70,Rico,Altamirano,,"5' 10""",170 lbs.,--,,3,2,0,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
71,Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,http://ufcstats.com/fighter-details/c11036da9162cb5f
72,Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,http://ufcstats.com/fighter-details/e741536153227386
