,weight_class,fighter1,fighter2,Winner Prediction
0,Lightweight,Khabib Nurmagomedov,Dustin Poirier,Khabib Nurmagomedov
1,Lightweight,Edson Barboza,Paul Felder,Edson Barboza
2,Lightweight,Islam Makhachev,Davi Ramos,Islam Makhachev
3,Heavyweight,Curtis Blaydes,Shamil Abdurakhimov,Shamil Abdurakhimov
4,Lightweight,Mairbek Taisumov,Diego Ferreira,Diego Ferreira
5,Women's Flyweight,Joanne Calderwood,Andrea Lee,Andrea Lee
6,Women's Bantamweight,Liana Jojua,Sarah Moras,Sarah Moras
7,Lightweight,Ottman Azaitar,Teemu Packalen,Teemu Packalen
8,Welterweight,Belal Muhammad,Takashi Sato,Belal Muhammad
9,Welterweight,Nordine Taleb,Muslim Salikhov,Nordine Taleb
10,Middleweight,Omari Akhmedov,Zak Cummings,Zak Cummings
