,fight_card,fight_card_url,fighter1,fighter2,weight_class,winner,method,round
0,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Stipe Miocic,Daniel Cormier,Heavyweight,Stipe Miocic,KO/TKOPunches,4
1,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Nate Diaz,Anthony Pettis,Welterweight,Nate Diaz,U-DEC,3
2,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Paulo Costa,Yoel Romero,Middleweight,Paulo Costa,U-DEC,3
3,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Sodiq Yusuff,Gabriel Benitez,Featherweight,Sodiq Yusuff,KO/TKOPunch,1
4,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Derek Brunson,Ian Heinisch,Middleweight,Derek Brunson,U-DEC,3
5,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Khama Worthy,Devonte Smith,Lightweight,Khama Worthy,KO/TKOPunch,1
6,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Cory Sandhagen,Raphael Assuncao,Bantamweight,Cory Sandhagen,U-DEC,3
7,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Drakkar Klose,Christos Giagos,Lightweight,Drakkar Klose,U-DEC,3
8,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Casey Kenney,Manny Bermudez,Catch Weight,Casey Kenney,U-DEC,3
9,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Hannah Cifers,Jodie Esquibel,Women's Strawweight,Hannah Cifers,U-DEC,3
10,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Kyung Ho Kang,Brandon Davis,Bantamweight,Kyung Ho Kang,S-DEC,3
11,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Sabina Mazo,Shana Dobson,Women's Flyweight,Sabina Mazo,U-DEC,3
12,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Valentina Shevchenko,Liz Carmouche,Women's Flyweight,Valentina Shevchenko,U-DEC,5
13,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Vicente Luque,Mike Perry,Welterweight,Vicente Luque,S-DEC,3
14,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Eduardo Garagorri,Humberto Bandenay,Featherweight,Eduardo Garagorri,U-DEC,3
