,fight_card,fight_card_url,fighter1,fighter2,weight_class,winner,method,round
0,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Robert Whittaker,Darren Till,Middleweight,Robert Whittaker,U-DEC,5
1,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Mauricio Rua,Rogerio Nogueira,Light Heavyweight,Mauricio Rua,S-DEC,3
2,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Fabricio Werdum,Alexander Gustafsson,Heavyweight,Fabricio Werdum,SUBArmbar,1
3,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Carla Esparza,Marina Rodriguez,Women's Strawweight,Carla Esparza,S-DEC,3
4,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Paul Craig,Gadzhimurad Antigulov,Light Heavyweight,Paul Craig,SUBTriangle Choke,1
5,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Alex Oliveira,Peter Sobotta,Welterweight,Alex Oliveira,U-DEC,3
6,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Khamzat Chimaev,Rhys McKee,Welterweight,Khamzat Chimaev,KO/TKOPunches,1
7,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Francisco Trinaldo,Jai Herbert,Lightweight,Francisco Trinaldo,KO/TKOPunch,3
8,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Jesse Ronson,Nicolas Dalby,Welterweight,Jesse Ronson,SUBRear Naked Choke,1
9,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Tom Aspinall,Jake Collier,Heavyweight,Tom Aspinall,KO/TKOPunches,1
10,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Movsar Evloev,Mike Grundy,Featherweight,Movsar Evloev,U-DEC,3
11,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Tanner Boser,Raphael Pessoa,Heavyweight,Tanner Boser,KO/TKOPunch,2
12,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Pannie Kianzad,Bethe Correia,Women's Bantamweight,Pannie Kianzad,U-DEC,3
13,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Ramazan Emeev,Niklas Stolze,Welterweight,Ramazan Emeev,U-DEC,3
14,UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,Nathaniel Wood,John Castaneda,Bantamweight,Nathaniel Wood,U-DEC,3
15,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Deiveson Figueiredo,Joseph Benavidez,Flyweight,Deiveson Figueiredo,SUBRear Naked Choke,1
16,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Jack Hermansson,Kelvin Gastelum,Middleweight,Jack Hermansson,SUBHeel Hook,1
17,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Rafael Fiziev,Marc Diakiese,Lightweight,Rafael Fiziev,U-DEC,3
18,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Ariane Lipski,Luana Carolina,Women's Flyweight,Ariane Lipski,SUBKneebar,1
19,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Askar Askarov,Alexandre Pantoja,Flyweight,Askar Askarov,U-DEC,3
20,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Roman Dolidze,Khadis Ibragimov,Light Heavyweight,Roman Dolidze,KO/TKOKick,1
21,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Grant Dawson,Nad Narimani,Catch Weight,Grant Dawson,U-DEC,3
22,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Joel Alvarez,Joe Duffy,Lightweight,Joel Alvarez,SUBGuillotine Choke,1
23,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Brett Johns,Montel Jackson,Bantamweight,Brett Johns,U-DEC,3
24,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Amir Albazi,Malcolm Gordon,Bantamweight,Amir Albazi,SUBTriangle Choke,1
25,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Davi Ramos,Arman Tsarukyan,Lightweight,Arman Tsarukyan,U-DEC,3
26,UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,Carlos Felipe,Serghei Spivac,Heavyweight,Serghei Spivac,M-DEC,3
27,UFC Fight Night: Kattar vs. Ige,http://ufcstats.com/event-details/18f5669a92e99d92,Dan Ige,Calvin Kattar,Featherweight,Calvin Kattar,U-DEC,5
28,UFC Fight Night: Kattar vs. Ige,http://ufcstats.com/event-details/18f5669a92e99d92,Ryan Benoit,Tim Elliott,Flyweight,Tim Elliott,U-DEC,3
29,UFC Fight Night: Kattar vs. Ige,http://ufcstats.com/event-details/18f5669a92e99d92,Cody Stamann,Jimmie Rivera,Featherweight,Jimmie Rivera,U-DEC,3
30,UFC Fight Night: Kattar vs. Ige,http://ufcstats.com/event-details/18f5669a92e99d92,Molly McCann,Taila Santos,Women's Flyweight,Taila Santos,U-DEC,3
31,UFC Fight Night: Kattar vs. Ige,http://ufcstats.com/event-details/18f5669a92e99d92,Abdul Razak Alhassan,Mounir Lazzez,Welterweight,Mounir Lazzez,U-DEC,3
32,UFC Fight Night: Kattar vs. Ige,http://ufcstats.com/event-details/18f5669a92e99d92,John Phillips,Khamzat Chimaev,Middleweight,Khamzat Chimaev,SUBD'Arce Choke,2
