,weight_class_col_0,weight_class_col_1,weight_class_col_2,weight_class_col_3,weight_class_col_4,weight_class_col_5,weight_class_col_6,weight_class_col_7,fighter1,fighter2,winner,Unnamed: 0_x,Unnamed: 0.1_x,stance_col_0_fighter1,stance_col_1_fighter1,stance_col_2_fighter1,stance_col_3_fighter1,stance_col_4_fighter1,stance_col_5_fighter1,stance_col_6_fighter1,stance_col_7_fighter1,height_fighter1,weight_fighter1,reach_fighter1,wins_fighter1,losses_fighter1,draws_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Dep_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,Unnamed: 0_y,Unnamed: 0.1_y,stance_col_0_fighter2,stance_col_1_fighter2,stance_col_2_fighter2,stance_col_3_fighter2,stance_col_4_fighter2,stance_col_5_fighter2,stance_col_6_fighter2,stance_col_7_fighter2,height_fighter2,weight_fighter2,reach_fighter2,wins_fighter2,losses_fighter2,draws_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Dep_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,winner_en
0,0,0,0,0,0,0,1,0,Robert Whittaker,Darren Till,Robert Whittaker,3363,159,1,0,0,0,0,0,0,0,182.88,185,185.42,22,5,0,4.51,40,3.43,61,0.46,30,84,0.0,3149,811,0,1,0,0,0,0,0,0,182.88,185,187.96,18,3,1,2.27,46,2.99,58,0.54,41,82,0.0,0
1,0,0,0,0,0,0,1,0,Mauricio Rua,Rogerio Nogueira,Mauricio Rua,2690,352,1,0,0,0,0,0,0,0,185.42,205,193.04,27,11,1,3.63,50,2.7,54,2.17,48,47,0.8,2254,723,0,1,0,0,0,0,0,0,187.96,205,190.5,23,10,0,2.43,35,2.34,59,0.64,44,62,0.8,0
2,0,0,1,0,0,0,0,0,Fabricio Werdum,Alexander Gustafsson,Fabricio Werdum,3348,144,1,0,0,0,0,0,0,0,193.04,231,195.58,24,9,1,3.59,52,2.64,55,1.75,31,31,1.2,1191,299,1,0,0,0,0,0,0,0,195.58,205,200.66,18,7,0,4.02,40,3.42,51,1.54,39,83,0.4,0
3,0,0,0,0,0,0,1,0,Carla Esparza,Marina Rodriguez,Carla Esparza,874,874,1,0,0,0,0,0,0,0,154.94,115,160.02,18,6,0,2.29,42,2.85,53,3.44,35,48,0.3,2646,308,1,0,0,0,0,0,0,0,167.64,115,165.1,12,1,2,5.04,50,3.31,52,0.38,33,61,0.2,0
4,0,0,0,0,0,0,1,0,Paul Craig,Gadzhimurad Antigulov,Paul Craig,623,623,1,0,0,0,0,0,0,0,190.5,205,193.04,13,4,1,2.3,48,2.56,48,1.61,21,55,1.6,113,113,1,0,0,0,0,0,0,0,180.34,205,177.8,20,7,0,2.89,56,4.95,24,8.4,42,0,2.8,0
5,0,0,1,0,0,0,0,0,Alex Oliveira,Peter Sobotta,Alex Oliveira,2303,772,1,0,0,0,0,0,0,0,180.34,170,193.04,21,8,1,2.89,50,2.16,48,2.47,37,61,0.6,2950,612,0,1,0,0,0,0,0,0,182.88,170,190.5,17,7,1,2.14,40,2.9,58,1.53,32,77,0.5,0
6,0,0,1,0,0,0,0,0,Khamzat Chimaev,Rhys McKee,Khamzat Chimaev,520,520,1,0,0,0,0,0,0,0,187.96,170,190.5,8,0,0,8.88,72,0.11,50,4.81,75,0,3.2,1981,450,1,0,0,0,0,0,0,0,187.96,170,198.12,10,3,1,0.0,0,12.7,35,0.0,0,50,0.0,0
7,0,0,1,0,0,0,0,0,Francisco Trinaldo,Jai Herbert,Francisco Trinaldo,3179,841,0,1,0,0,0,0,0,0,175.26,155,177.8,26,7,0,3.11,44,2.56,60,1.09,46,61,0.6,1281,389,1,0,0,0,0,0,0,0,185.42,155,195.58,10,2,0,1.83,30,2.61,48,0.0,0,33,0.0,0
8,0,0,1,0,0,0,0,0,Jesse Ronson,Nicolas Dalby,Jesse Ronson,2665,327,0,1,0,0,0,0,0,0,177.8,170,177.8,22,10,0,3.54,49,2.99,59,0.63,40,61,0.6,659,659,1,0,0,0,0,0,0,0,180.34,170,187.96,18,4,1,3.17,38,3.19,54,1.74,45,58,0.0,0
9,0,0,1,0,0,0,0,0,Tom Aspinall,Jake Collier,Tom Aspinall,145,145,1,0,0,0,0,0,0,0,195.58,256,198.12,8,2,0,13.33,100,4.0,66,0.0,0,0,0.0,572,572,1,0,0,0,0,0,0,0,190.5,205,198.12,11,5,0,4.15,39,3.8,51,0.71,23,67,0.5,0
10,0,0,0,0,1,0,0,0,Movsar Evloev,Mike Grundy,Movsar Evloev,888,888,1,0,0,0,0,0,0,0,170.18,145,182.88,13,0,0,4.44,43,2.76,65,3.0,33,68,0.0,1174,282,1,0,0,0,0,0,0,0,170.18,145,182.88,12,2,0,2.15,43,4.09,58,4.25,38,100,0.6,0
11,0,0,1,0,0,0,0,0,Tanner Boser,Raphael Pessoa,Tanner Boser,305,305,1,0,0,0,0,0,0,0,187.96,255,190.5,19,6,1,4.54,54,2.85,64,0.0,0,100,0.0,2430,92,1,0,0,0,0,0,0,0,190.5,262,198.12,10,2,0,2.16,26,3.43,42,0.0,0,100,0.0,0
12,0,0,0,0,0,1,0,0,Pannie Kianzad,Bethe Correia,Pannie Kianzad,1585,54,1,0,0,0,0,0,0,0,170.18,135,167.64,14,5,0,4.85,45,3.72,58,0.29,20,92,0.3,599,599,1,0,0,0,0,0,0,0,165.1,135,162.56,11,5,1,4.39,44,4.56,58,0.44,20,84,0.0,0
13,0,0,1,0,0,0,0,0,Ramazan Emeev,Niklas Stolze,Ramazan Emeev,848,848,0,1,0,0,0,0,0,0,177.8,170,193.04,19,4,0,2.29,43,1.79,68,2.0,25,72,0.6,3032,694,0,0,0,1,0,0,0,0,185.42,170,187.96,12,4,0,2.0,41,1.93,56,1.0,100,66,0.0,0
14,0,0,0,1,0,0,0,0,Nathaniel Wood,John Castaneda,Nathaniel Wood,3399,195,1,0,0,0,0,0,0,0,167.64,135,175.26,17,4,0,5.52,48,3.3,55,1.65,60,83,1.1,486,486,0,0,0,1,0,0,0,0,167.64,135,180.34,17,5,0,3.43,44,5.3,51,1.0,25,66,0.0,0
15,0,0,0,0,0,0,1,0,Deiveson Figueiredo,Joseph Benavidez,Deiveson Figueiredo,925,33,1,0,0,0,0,0,0,0,165.1,125,172.72,19,1,0,2.8,55,2.81,51,1.71,50,61,2.9,235,235,0,1,0,0,0,0,0,0,162.56,125,165.1,28,7,0,3.54,34,2.62,62,1.48,30,65,0.6,0
16,0,0,0,0,0,0,1,0,Jack Hermansson,Kelvin Gastelum,Jack Hermansson,1284,392,1,0,0,0,0,0,0,0,185.42,185,195.58,21,5,0,5.08,48,2.52,56,2.19,35,73,0.9,1041,149,0,1,0,0,0,0,0,0,175.26,185,180.34,16,6,0,3.72,43,3.0,59,0.87,37,63,0.1,0
17,0,0,1,0,0,0,0,0,Rafael Fiziev,Marc Diakiese,Rafael Fiziev,940,48,0,0,0,1,0,0,0,0,172.72,155,180.34,8,1,0,4.61,56,4.23,54,0.95,66,100,0.0,737,737,1,0,0,0,0,0,0,0,177.8,155,185.42,14,4,0,3.08,39,2.79,54,2.16,36,62,0.0,0
18,0,0,0,1,0,0,0,0,Ariane Lipski,Luana Carolina,Ariane Lipski,1780,249,1,0,0,0,0,0,0,0,167.64,125,170.18,13,5,0,3.34,31,4.52,51,0.32,100,37,0.7,466,466,1,0,0,0,0,0,0,0,167.64,125,175.26,6,2,0,6.29,50,3.75,47,0.0,0,100,2.4,0
19,0,0,0,0,0,0,1,0,Askar Askarov,Alexandre Pantoja,Askar Askarov,141,141,1,0,0,0,0,0,0,0,167.64,125,170.18,12,0,1,3.2,52,2.51,55,2.0,18,64,0.0,2359,21,1,0,0,0,0,0,0,0,165.1,125,170.18,22,5,0,4.2,47,3.41,54,1.08,36,67,1.1,0
20,0,0,0,0,0,0,1,0,Roman Dolidze,Khadis Ibragimov,Roman Dolidze,767,767,1,0,0,0,0,0,0,0,187.96,205,193.04,7,0,0,4.47,86,0.94,71,0.0,0,0,0.0,1384,492,1,0,0,0,0,0,0,0,190.5,205,198.12,8,3,0,4.64,51,5.8,48,1.44,30,100,0.0,0
